minimum_nights,review_scores_rating,id,neighbourhood_cleansed
30,80.0,261358,Downtown/Civic Center
2,95.0,269371,Castro/Upper Market
2,95.0,269463,Haight Ashbury
30,98.0,271602,South of Market
30,91.0,271647,Outer Sunset
4,98.0,273530,Potrero Hill
3,95.0,274334,Outer Sunset
2,97.0,276072,Mission
3,97.0,277339,Outer Mission
3,97.0,279184,Mission
1,94.0,280549,West of Twin Peaks
30,88.0,280673,Bernal Heights
30,95.0,284117,Noe Valley
3,100.0,284766,Marina
30,100.0,285499,Castro/Upper Market
4,96.0,286311,Castro/Upper Market
3,98.0,287907,Outer Mission
2,98.0,288213,Potrero Hill
30,82.0,292723,Excelsior
2,98.0,295240,Castro/Upper Market
30,96.0,295565,Excelsior
3,96.0,297897,Outer Sunset
7,97.0,307837,Noe Valley
30,89.0,308885,North Beach
7,97.0,314248,Pacific Heights
1,99.0,314368,North Beach
30,94.0,317121,Haight Ashbury
2,97.0,323635,Excelsior
3,97.0,325478,Mission
30,94.0,326650,Western Addition
30,100.0,329020,South of Market
30,94.0,330535,Haight Ashbury
3,99.0,330736,Mission
3,98.0,334339,Castro/Upper Market
60,98.0,334886,Marina
30,100.0,338849,Western Addition
4,100.0,342420,Castro/Upper Market
1,98.0,344621,Outer Mission
1,93.0,345760,Castro/Upper Market
3,93.0,348580,Bernal Heights
3,96.0,348714,Haight Ashbury
2,99.0,350391,Noe Valley
30,96.0,350479,Mission
2,97.0,351881,Castro/Upper Market
30,69.0,351950,Excelsior
30,83.0,351978,Excelsior
2,90.0,352165,Castro/Upper Market
4,100.0,353292,Western Addition
30,96.0,361230,Castro/Upper Market
2,97.0,364397,Castro/Upper Market
3,95.0,374997,Castro/Upper Market
3,90.0,377569,Mission
5,98.0,379255,Haight Ashbury
3,93.0,379349,Haight Ashbury
4,96.0,379418,Bernal Heights
3,97.0,381217,Bernal Heights
4,97.0,392543,Potrero Hill
6,96.0,394575,Bernal Heights
2,100.0,400433,Mission
2,96.0,408471,Castro/Upper Market
3,98.0,409549,Bernal Heights
30,100.0,413663,Noe Valley
30,96.0,415498,Pacific Heights
4,97.0,420160,Mission
3,96.0,423063,Western Addition
30,95.0,423300,Mission
2,99.0,424846,Inner Richmond
31,97.0,430692,Mission
3,89.0,431632,Outer Richmond
30,95.0,431862,Downtown/Civic Center
30,96.0,435389,Chinatown
30,100.0,435390,Chinatown
30,94.0,435391,Chinatown
2,99.0,437385,Outer Richmond
2,95.0,438940,Castro/Upper Market
1,97.0,438967,Castro/Upper Market
1,90.0,439703,Castro/Upper Market
30,98.0,442349,Western Addition
4,99.0,442397,Outer Sunset
30,100.0,444675,Glen Park
30,87.0,450992,Western Addition
30,89.0,455783,Outer Sunset
1,97.0,456568,Western Addition
3,93.0,457862,Western Addition
6,100.0,457986,Excelsior
30,100.0,459990,Russian Hill
2,97.0,465723,Parkside
3,99.0,467507,Bernal Heights
1,92.0,468490,Russian Hill
3,94.0,468751,Mission
1,98.0,470686,Mission
31,98.0,472901,South of Market
30,100.0,474001,Chinatown
2,97.0,474107,Excelsior
1,94.0,479072,Castro/Upper Market
3,95.0,479415,Bernal Heights
2,96.0,482592,Glen Park
2,94.0,485286,Bernal Heights
4,89.0,487019,Potrero Hill
30,96.0,487499,Mission
3,98.0,488297,Noe Valley
3,96.0,491867,Western Addition
3,98.0,491874,Western Addition
4,97.0,493889,Outer Mission
3,92.0,494111,Outer Richmond
30,94.0,496226,Potrero Hill
3,96.0,499096,Mission
3,97.0,501057,Mission
30,97.0,501770,Haight Ashbury
30,99.0,503362,Haight Ashbury
2,98.0,504146,Marina
