reviews_per_month,review_scores_rating,id
0.01,100.0,474001
2.71,97.0,474107
3.04,94.0,479072
0.26,95.0,479415
1.22,96.0,482592
0.59,94.0,485286
0.26,89.0,487019
2.03,96.0,487499
2.72,98.0,488297
0.39,96.0,491867
1.09,98.0,491874
0.68,97.0,493889
1.74,92.0,494111
1.42,94.0,496226
2.38,96.0,499096
0.73,97.0,501057
1.14,97.0,501770
1.27,99.0,503362
0.9,98.0,504146
0.08,87.0,505530
0.09,100.0,505763
0.24,91.0,515260
2.8,96.0,515430
0.75,97.0,515524
3.46,97.0,516836
0.09,100.0,517803
0.87,99.0,519796
0.53,95.0,522089
0.35,96.0,522273
0.35,97.0,527226
0.96,100.0,530857
0.28,99.0,531151
0.17,89.0,533193
0.34,97.0,533627
1.16,97.0,545585
8.51,96.0,545685
0.32,99.0,548232
1.26,97.0,555596
0.14,100.0,560440
0.27,98.0,561148
2.41,100.0,561602
1.9,97.0,562311
0.21,99.0,562593
7.0,97.0,567239
4.09,98.0,568161
0.14,100.0,571042
0.08,100.0,575551
0.44,99.0,576018
0.2,100.0,578097
1.1,97.0,580106
3.65,95.0,581216
0.1,100.0,582335
6.08,95.0,585225
7.89,95.0,585326
0.87,99.0,587375
0.28,96.0,589767
0.28,100.0,591524
0.56,92.0,592883
0.23,83.0,593165
4.01,98.0,593253
1.09,96.0,596042
3.13,96.0,598271
0.69,97.0,598579
0.04,100.0,602036
0.09,98.0,602535
0.12,100.0,604843
0.61,90.0,604999
0.61,97.0,607500
0.8,92.0,616204
2.09,96.0,616517
0.44,96.0,626349
0.04,100.0,627358
2.93,95.0,631635
0.43,96.0,631658
0.31,94.0,631735
0.11,100.0,632303
1.19,95.0,633629
0.19,96.0,635850
1.31,97.0,640352
0.22,99.0,640895
0.07,100.0,642672
0.46,95.0,643918
3.26,99.0,647360
2.96,96.0,648086
1.87,95.0,651624
3.43,99.0,654279
0.07,100.0,654860
0.06,100.0,655326
2.52,100.0,657121
0.25,100.0,662754
0.34,97.0,663623
4.58,93.0,664307
0.08,97.0,664315
0.71,99.0,677207
4.53,98.0,678556
3.01,97.0,680288
0.21,86.0,687430
0.38,99.0,691023
0.75,97.0,699723
6.47,96.0,713877
0.05,100.0,715543
0.93,99.0,715754
3.41,96.0,719431
2.47,95.0,720811
0.52,96.0,725300
0.21,96.0,726657
5.31,98.0,727866
2.96,95.0,727969
0.64,97.0,728486
3.3,98.0,728585
2.92,97.0,728884
0.24,92.0,730045
0.17,98.0,732779
0.31,95.0,734801
2.06,99.0,734839
0.07,100.0,738493
1.5,94.0,738547
0.1,72.0,741327
4.02,97.0,746079
7.65,98.0,748222
7.74,98.0,748256
1.35,94.0,749744
0.85,98.0,749990
3.2,95.0,752607
1.42,99.0,754117
0.27,96.0,758815
0.29,96.0,760794
0.55,97.0,765914
1.03,98.0,766516
1.17,96.0,767506
1.44,95.0,769734
2.38,98.0,770991
4.69,97.0,774323
0.64,99.0,776239
1.65,95.0,778520
2.89,98.0,779109
0.04,74.0,781945
0.22,99.0,783821
2.44,93.0,785901
2.39,94.0,786492
2.72,94.0,786506
2.97,92.0,794626
2.5,99.0,795254
1.03,95.0,797887
0.21,95.0,802559
0.83,99.0,806199
2.69,93.0,808660
2.16,98.0,808919
0.48,99.0,810315
0.02,94.0,811374
0.19,95.0,815183
0.24,100.0,819856
0.75,87.0,819863
1.26,100.0,829185
1.01,93.0,830330
0.02,83.0,830576
0.12,76.0,830997
0.13,88.0,833149
0.6,94.0,837045
3.14,99.0,840986
3.17,89.0,845480
2.87,88.0,845501
0.05,93.0,845502
2.57,89.0,848578
1.13,99.0,851889
1.77,100.0,856123
0.08,97.0,859310
3.92,97.0,859336
1.95,96.0,862201
0.01,100.0,863987
0.48,96.0,865873
0.38,100.0,867499
2.78,96.0,867530
0.4,99.0,867555
1.5,97.0,870532
1.04,97.0,870705
0.05,73.0,872206
0.05,95.0,873705
2.72,97.0,878935
0.13,93.0,881105
1.69,97.0,883937
2.91,96.0,884770
0.22,91.0,890875
0.04,100.0,893720
0.37,92.0,899499
1.15,96.0,900393
0.17,98.0,900941
0.03,100.0,902435
1.92,97.0,905399
1.03,92.0,905902
2.86,100.0,909063
0.9,98.0,911029
0.34,99.0,915058
5.49,99.0,918341
0.15,90.0,923807
4.29,95.0,929468
1.23,92.0,930955
0.45,84.0,931313
0.13,100.0,932481
0.82,95.0,934012
0.95,97.0,936209
2.34,95.0,937842
0.25,94.0,938330
0.07,100.0,943851
3.52,97.0,945748
0.56,98.0,950094
2.12,78.0,955071
1.65,97.0,958507
0.66,96.0,961900
3.26,95.0,964751
0.77,99.0,964952
1.47,95.0,968046
0.32,99.0,968308
0.34,97.0,968852
1.31,92.0,971069
3.05,99.0,971116
0.06,100.0,975482
1.88,99.0,980783
0.85,93.0,982298
0.03,87.0,983739
0.52,98.0,991765
7.14,97.0,992676
4.42,84.0,992913
5.52,89.0,997382
2.83,99.0,998701
0.5,94.0,1001415
0.17,97.0,1001759
0.32,98.0,1003756
3.62,97.0,1005642
1.1,92.0,1007157
0.23,92.0,1011292
1.27,93.0,1011751
0.08,95.0,1015336
0.2,95.0,1016604
2.67,93.0,1017799
4.39,92.0,1023586
0.73,99.0,1029621
2.38,95.0,1030352
0.08,100.0,1031899
2.05,98.0,1033754
0.17,98.0,1036860
1.13,86.0,1037251
7.29,99.0,1043282
1.44,97.0,1053666
3.08,97.0,1056844
0.52,99.0,1059961
4.94,95.0,1069167
1.48,98.0,1076743
1.78,94.0,1077444
1.12,99.0,1080408
0.83,98.0,1080980
0.13,97.0,1083810
0.5,93.0,1084068
0.24,80.0,1087427
0.61,96.0,1094207
0.49,100.0,1098003
0.66,99.0,1103797
1.84,95.0,1104362
3.2,89.0,1104912
1.21,95.0,1106534
0.88,98.0,1107014
0.62,100.0,1109534
1.11,98.0,1110001
3.94,100.0,1110346
1.01,95.0,1110787
1.28,96.0,1121697
4.3,99.0,1123125
1.99,94.0,1125079
1.9,95.0,1125115
1.93,78.0,1130628
0.46,97.0,1133372
0.39,94.0,1135632
0.17,96.0,1138420
0.14,100.0,1138764
0.5,84.0,1141986
0.27,91.0,1142101
3.85,98.0,1148625
0.24,100.0,1151109
0.01,100.0,1151864
0.04,93.0,1159284
0.43,94.0,1162640
1.0,99.0,1171918
0.39,97.0,1174214
0.2,96.0,1174537
0.05,100.0,1174758
1.08,99.0,1177310
1.43,99.0,1178260
0.99,98.0,1178281
0.18,93.0,1180103
0.48,96.0,1182465
3.56,96.0,1183521
0.29,98.0,1195173
0.21,98.0,1200068
0.41,99.0,1201159
0.38,99.0,1203062
2.4,96.0,1203172
2.66,88.0,1203526
5.32,99.0,1203684
0.09,100.0,1203849
2.3,98.0,1205031
0.19,92.0,1206032
3.49,86.0,1206184
4.74,84.0,1206233
2.63,89.0,1206261
0.21,96.0,1209893
0.07,100.0,1212513
1.29,97.0,1212746
0.52,98.0,1212822
0.78,99.0,1214080
1.24,97.0,1223107
0.38,96.0,1223704
0.71,98.0,1226557
2.51,91.0,1226596
1.31,93.0,1229606
0.23,94.0,1237143
1.11,98.0,1241029
0.4,95.0,1245838
0.17,75.0,1247160
0.24,92.0,1249046
0.55,97.0,1251570
2.25,97.0,1261074
1.09,96.0,1261122
0.81,96.0,1267206
0.51,99.0,1276953
5.93,93.0,1277771
5.12,99.0,1281132
2.16,97.0,1281167
0.17,100.0,1286943
0.29,100.0,1290935
0.26,98.0,1291092
0.08,97.0,1292217
0.06,95.0,1299242
1.51,92.0,1301798
0.14,100.0,1301843
0.26,98.0,1304068
1.12,95.0,1304808
0.44,100.0,1309496
1.66,98.0,1317908
2.54,98.0,1323983
0.3,98.0,1324086
0.08,100.0,1328186
0.15,98.0,1329465
3.68,99.0,1332343
5.37,98.0,1333047
1.28,92.0,1336798
4.62,97.0,1336998
0.79,97.0,1340755
0.85,92.0,1344243
1.92,88.0,1344752
0.15,93.0,1351626
0.51,96.0,1351783
1.64,98.0,1352111
0.18,98.0,1355744
4.09,95.0,1356129
2.88,98.0,1356817
0.99,100.0,1364882
0.55,94.0,1388523
0.42,91.0,1391982
3.05,97.0,1392204
7.99,98.0,1393654
0.2,94.0,1397537
0.17,100.0,1405046
0.98,97.0,1407244
2.56,96.0,1407881
4.51,98.0,1408281
0.74,97.0,1409218
2.56,99.0,1421671
6.39,97.0,1421774
2.48,98.0,1421937
0.44,96.0,1428465
0.31,100.0,1428553
0.17,91.0,1428909
0.08,93.0,1429022
0.08,96.0,1433011
1.76,98.0,1433917
1.31,100.0,1434314
1.73,97.0,1434425
1.57,93.0,1437321
