minimum_nights,review_scores_rating,id
5,98.0,602535
31,100.0,604843
30,90.0,604999
3,97.0,607500
7,92.0,616204
30,96.0,616517
30,96.0,626349
30,100.0,627358
30,95.0,631635
3,96.0,631658
31,94.0,631735
30,100.0,632303
30,95.0,633629
1,96.0,635850
1,97.0,640352
3,99.0,640895
60,100.0,642672
30,95.0,643918
1,99.0,647360
3,96.0,648086
2,95.0,651624
3,99.0,654279
30,100.0,654860
30,100.0,655326
31,100.0,657121
9,100.0,662754
4,97.0,663623
2,93.0,664307
7,97.0,664315
3,99.0,677207
3,98.0,678556
2,97.0,680288
30,86.0,687430
4,99.0,691023
4,97.0,699723
1,96.0,713877
30,100.0,715543
30,99.0,715754
4,96.0,719431
3,95.0,720811
30,96.0,725300
4,96.0,726657
1,98.0,727866
30,95.0,727969
30,97.0,728486
3,98.0,728585
30,97.0,728884
30,92.0,730045
5,98.0,732779
30,95.0,734801
30,99.0,734839
2,100.0,738493
3,94.0,738547
30,72.0,741327
1,97.0,746079
1,98.0,748222
1,98.0,748256
30,94.0,749744
30,98.0,749990
3,95.0,752607
30,99.0,754117
30,96.0,758815
14,96.0,760794
7,97.0,765914
30,98.0,766516
2,96.0,767506
2,95.0,769734
3,98.0,770991
2,97.0,774323
4,99.0,776239
4,95.0,778520
1,98.0,779109
183,74.0,781945
30,99.0,783821
1,93.0,785901
1,94.0,786492
1,94.0,786506
2,92.0,794626
3,99.0,795254
30,95.0,797887
4,95.0,802559
4,99.0,806199
30,93.0,808660
3,98.0,808919
30,99.0,810315
30,94.0,811374
30,95.0,815183
30,100.0,819856
1,87.0,819863
4,100.0,829185
3,93.0,830330
200,83.0,830576
30,76.0,830997
30,88.0,833149
2,94.0,837045
30,99.0,840986
3,89.0,845480
3,88.0,845501
5,93.0,845502
3,89.0,848578
3,99.0,851889
1,100.0,856123
31,97.0,859310
2,97.0,859336
30,96.0,862201
30,100.0,863987
30,96.0,865873
4,100.0,867499
30,96.0,867530
5,99.0,867555
30,97.0,870532
3,97.0,870705
30,73.0,872206
2,95.0,873705
30,97.0,878935
3,93.0,881105
4,97.0,883937
1,96.0,884770
2,91.0,890875
4,100.0,893720
30,92.0,899499
30,96.0,900393
90,98.0,900941
30,100.0,902435
5,97.0,905399
30,92.0,905902
4,100.0,909063
30,98.0,911029
2,99.0,915058
1,99.0,918341
30,90.0,923807
5,95.0,929468
30,92.0,930955
30,84.0,931313
5,100.0,932481
30,95.0,934012
2,97.0,936209
1,95.0,937842
30,94.0,938330
30,100.0,943851
2,97.0,945748
30,98.0,950094
30,78.0,955071
31,97.0,958507
30,96.0,961900
30,95.0,964751
3,99.0,964952
2,95.0,968046
30,99.0,968308
1,97.0,968852
30,92.0,971069
2,99.0,971116
30,100.0,975482
30,99.0,980783
3,93.0,982298
30,87.0,983739
4,98.0,991765
1,97.0,992676
2,84.0,992913
1,89.0,997382
3,99.0,998701
4,94.0,1001415
30,97.0,1001759
3,98.0,1003756
2,97.0,1005642
30,92.0,1007157
120,92.0,1011292
2,93.0,1011751
30,95.0,1015336
4,95.0,1016604
1,93.0,1017799
1,92.0,1023586
3,99.0,1029621
30,95.0,1030352
30,100.0,1031899
1,98.0,1033754
2,98.0,1036860
30,86.0,1037251
1,99.0,1043282
31,97.0,1053666
2,97.0,1056844
58,99.0,1059961
1,95.0,1069167
2,98.0,1076743
2,94.0,1077444
1,99.0,1080408
1,98.0,1080980
1,97.0,1083810
365,93.0,1084068
7,80.0,1087427
30,96.0,1094207
3,100.0,1098003
2,99.0,1103797
30,95.0,1104362
2,89.0,1104912
30,95.0,1106534
2,98.0,1107014
2,100.0,1109534
30,98.0,1110001
2,100.0,1110346
30,95.0,1110787
30,96.0,1121697
2,99.0,1123125
2,94.0,1125079
2,95.0,1125115
30,78.0,1130628
2,97.0,1133372
3,94.0,1135632
30,96.0,1138420
1,100.0,1138764
360,84.0,1141986
7,91.0,1142101
3,98.0,1148625
30,100.0,1151109
180,100.0,1151864
30,93.0,1159284
30,94.0,1162640
2,99.0,1171918
2,97.0,1174214
30,96.0,1174537
30,100.0,1174758
30,99.0,1177310
30,99.0,1178260
3,98.0,1178281
4,93.0,1180103
3,96.0,1182465
2,96.0,1183521
30,98.0,1195173
30,98.0,1200068
30,99.0,1201159
3,99.0,1203062
3,96.0,1203172
1,88.0,1203526
1,99.0,1203684
2,100.0,1203849
30,98.0,1205031
30,92.0,1206032
1,86.0,1206184
1,84.0,1206233
1,89.0,1206261
2,96.0,1209893
2,100.0,1212513
3,97.0,1212746
10,98.0,1212822
3,99.0,1214080
3,97.0,1223107
29,96.0,1223704
180,98.0,1226557
3,91.0,1226596
31,93.0,1229606
7,94.0,1237143
10,98.0,1241029
3,95.0,1245838
30,75.0,1247160
30,92.0,1249046
2,97.0,1251570
3,97.0,1261074
3,96.0,1261122
3,96.0,1267206
5,99.0,1276953
3,93.0,1277771
2,99.0,1281132
1,97.0,1281167
2,100.0,1286943
4,100.0,1290935
2,98.0,1291092
30,97.0,1292217
365,95.0,1299242
3,92.0,1301798
30,100.0,1301843
3,98.0,1304068
30,95.0,1304808
3,100.0,1309496
3,98.0,1317908
1,98.0,1323983
4,98.0,1324086
7,100.0,1328186
30,98.0,1329465
3,99.0,1332343
1,98.0,1333047
30,92.0,1336798
2,97.0,1336998
3,97.0,1340755
5,92.0,1344243
30,88.0,1344752
30,93.0,1351626
30,96.0,1351783
30,98.0,1352111
30,98.0,1355744
2,95.0,1356129
2,98.0,1356817
30,100.0,1364882
30,94.0,1388523
6,91.0,1391982
3,97.0,1392204
1,98.0,1393654
5,94.0,1397537
6,100.0,1405046
2,97.0,1407244
30,96.0,1407881
1,98.0,1408281
30,97.0,1409218
2,99.0,1421671
3,97.0,1421774
3,98.0,1421937
30,96.0,1428465
30,100.0,1428553
30,91.0,1428909
5,93.0,1429022
1,96.0,1433011
30,98.0,1433917
3,100.0,1434314
4,97.0,1434425
2,93.0,1437321
30,93.0,1438286
3,97.0,1438864
30,100.0,1442027
1,100.0,1450899
30,89.0,1454220
4,95.0,1456153
3,99.0,1460174
2,86.0,1460628
30,100.0,1466344
30,97.0,1467857
3,98.0,1470340
3,98.0,1471683
1,97.0,1474209
2,98.0,1478708
30,93.0,1479666
3,99.0,1480015
30,98.0,1482273
4,96.0,1482730
2,95.0,1483853
30,99.0,1484792
2,92.0,1487849
3,99.0,1489175
2,92.0,1489782
30,97.0,1494771
30,92.0,1496833
3,97.0,1498953
3,98.0,1499630
1,97.0,1499843
6,99.0,1504826
1,97.0,1506702
3,99.0,1510363
2,100.0,1511076
3,98.0,1520790
2,93.0,1520929
30,97.0,1520938
30,99.0,1524346
30,96.0,1525137
1,100.0,1525886
30,98.0,1530745
30,94.0,1531273
30,89.0,1534021
2,98.0,1535946
30,96.0,1537497
30,97.0,1547477
5,97.0,1550913
2,94.0,1556680
30,93.0,1569288
1,94.0,1578597
4,100.0,1579304
30,98.0,1584021
6,95.0,1587410
30,100.0,1588695
30,98.0,1589228
4,99.0,1598872
4,98.0,1598886
2,94.0,1605483
30,93.0,1606292
2,96.0,1614453
1,99.0,1614622
2,97.0,1615088
1,95.0,1615158
2,100.0,1618782
1,95.0,1620039
3,96.0,1620411
3,98.0,1623609
2,98.0,1624068
30,95.0,1627259
30,96.0,1627455
30,98.0,1629330
1,98.0,1629740
3,94.0,1633126
1,80.0,1633173
1,89.0,1633225
2,95.0,1633839
2,99.0,1633933
3,97.0,1641060
180,88.0,1645724
2,100.0,1651228
4,94.0,1655446
30,86.0,1657512
3,98.0,1665516
1,99.0,1667732
2,99.0,1671260
3,99.0,1673011
30,80.0,1676460
1,98.0,1684346
1,98.0,1687330
30,88.0,1696383
30,91.0,1696666
2,96.0,1699390
59,100.0,1711075
3,100.0,1721354
3,98.0,1724819
30,93.0,1725833
2,96.0,1725853
6,88.0,1728497
4,100.0,1733056
1,98.0,1738415
30,96.0,1740537
2,99.0,1743201
30,96.0,1747531
2,97.0,1750093
2,99.0,1752371
2,96.0,1759087
30,93.0,1767543
3,98.0,1767569
30,99.0,1768239
3,99.0,1769688
3,93.0,1774026
5,94.0,1777429
1,94.0,1778650
2,95.0,1785463
3,100.0,1807012
30,93.0,1807493
3,92.0,1810486
30,100.0,1814061
2,98.0,1815551
30,100.0,1821543
1,96.0,1827177
31,100.0,1827638
30,99.0,1827653
30,98.0,1828443
3,98.0,1830541
30,95.0,1841832
30,98.0,1844117
30,98.0,1844877
4,96.0,1847664
2,99.0,1855096
3,94.0,1857226
30,100.0,1861344
3,93.0,1863106
3,93.0,1863316
30,96.0,1864390
30,93.0,1864545
30,85.0,1865406
3,98.0,1868880
30,100.0,1869845
3,100.0,1881223
30,88.0,1885057
30,97.0,1886260
30,94.0,1887206
30,99.0,1898486
4,100.0,1906323
5,97.0,1906681
1,95.0,1907229
3,100.0,1909613
30,94.0,1914841
30,97.0,1919372
1,97.0,1920033
1,97.0,1925206
30,97.0,1925714
2,96.0,1926253
30,99.0,1931459
1,92.0,1931763
2,98.0,1931788
2,99.0,1932019
4,97.0,1935904
3,95.0,1937575
3,100.0,1940496
28,98.0,1944306
2,99.0,1944564
3,99.0,1945508
30,95.0,1954263
3,95.0,1954514
1,96.0,1959880
3,100.0,1960773
6,99.0,1970257
30,88.0,1970756
2,98.0,1975404
30,98.0,1978669
30,100.0,1979461
30,98.0,1984709
3,97.0,1985338
1,98.0,1989997
2,98.0,1992217
60,90.0,1992988
2,99.0,1995487
2,95.0,1998111
30,96.0,2001534
4,93.0,2007101
3,84.0,2011311
1,94.0,2016198
5,96.0,2020393
3,100.0,2022751
3,100.0,2023326
6,99.0,2026910
2,98.0,2042095
2,96.0,2046634
5,89.0,2046807
2,94.0,2047469
5,96.0,2049672
3,98.0,2049955
30,96.0,2058119
5,98.0,2062696
6,98.0,2063077
30,96.0,2072098
30,93.0,2072133
30,90.0,2074270
30,95.0,2074584
3,96.0,2081536
2,95.0,2088622
30,94.0,2093695
4,99.0,2096756
30,95.0,2104437
30,96.0,2105840
30,98.0,2111361
2,96.0,2115503
1,96.0,2119773
2,96.0,2123469
30,97.0,2124182
2,95.0,2126868
2,98.0,2130640
2,98.0,2134475
4,92.0,2139562
30,97.0,2140313
3,99.0,2154122
2,97.0,2160504
30,95.0,2166428
30,98.0,2169208
2,96.0,2172308
1,98.0,2175930
3,99.0,2177440
2,98.0,2178509
30,80.0,2188233
30,100.0,2188308
30,100.0,2188507
3,96.0,2188561
30,92.0,2188959
30,94.0,2188976
30,98.0,2189514
4,92.0,2189814
3,91.0,2202505
1,96.0,2203283
30,80.0,2209353
2,99.0,2209751
31,100.0,2219978
4,98.0,2221057
2,92.0,2223743
30,99.0,2233416
90,88.0,2234256
30,94.0,2236226
31,99.0,2238488
30,89.0,2244652
1,98.0,2254431
4,89.0,2257205
2,99.0,2263794
3,95.0,2272343
2,96.0,2274353
3,98.0,2277754
1,100.0,2279254
1,99.0,2298930
30,94.0,2299196
30,97.0,2302408
30,97.0,2305039
2,90.0,2310518
30,99.0,2310765
2,100.0,2311428
30,97.0,2314849
3,98.0,2315086
30,95.0,2316478
30,97.0,2326228
30,100.0,2337552
2,98.0,2349483
4,98.0,2355859
2,96.0,2356554
3,97.0,2362619
30,87.0,2366182
3,100.0,2374267
30,98.0,2374361
3,97.0,2387068
30,87.0,2391772
3,97.0,2396847
2,99.0,2397852
2,99.0,2397858
3,98.0,2400409
30,92.0,2412158
4,100.0,2420887
30,100.0,2423948
30,94.0,2432104
30,99.0,2436213
2,96.0,2455313
30,96.0,2455325
30,93.0,2460904
30,97.0,2465543
1,99.0,2468125
30,100.0,2469485
2,97.0,2471457
30,90.0,2477409
4,100.0,2477787
1,97.0,2478558
3,98.0,2482884
1,95.0,2483759
3,97.0,2486953
30,99.0,2488520
31,94.0,2488837
3,97.0,2496086
5,100.0,2496460
30,100.0,2496719
30,96.0,2499257
30,90.0,2500662
3,97.0,2502368
7,93.0,2502543
30,98.0,2503408
28,92.0,2509236
30,90.0,2510224
3,90.0,2516026
2,98.0,2518781
30,88.0,2521327
30,82.0,2532756
4,96.0,2538807
2,97.0,2539953
30,92.0,2550991
30,97.0,2551994
3,99.0,2557977
2,88.0,2559297
30,86.0,2564006
30,87.0,2564140
4,98.0,2578122
2,98.0,2592518
4,94.0,2611820
2,94.0,2614717
30,98.0,2620371
30,95.0,2629833
30,96.0,2635278
30,80.0,2636716
30,97.0,2645189
60,88.0,2657854
1,100.0,2658295
16,99.0,2665028
30,98.0,2670951
2,98.0,2677273
1,98.0,2677288
2,86.0,2683409
4,95.0,2683857
7,98.0,2686530
2,96.0,2694526
4,98.0,2706776
4,99.0,2707422
30,95.0,2710372
3,99.0,2723005
2,96.0,2736358
2,97.0,2737894
30,93.0,2738331
2,98.0,2739477
3,94.0,2742151
2,96.0,2747383
2,94.0,2770268
2,94.0,2770561
3,97.0,2771128
30,92.0,2771688
4,97.0,2783251
5,100.0,2790637
2,95.0,2802418
30,95.0,2802480
30,99.0,2804417
3,100.0,2816626
30,96.0,2823227
30,94.0,2825966
1,95.0,2890120
75,96.0,2893920
7,98.0,2904128
30,97.0,2925557
2,98.0,2926901
2,99.0,2927781
2,98.0,2933105
1,98.0,2933899
30,97.0,2935400
1,100.0,2937902
30,99.0,2939849
3,98.0,2942149
1,95.0,2943327
2,98.0,2944266
1,97.0,2944843
31,99.0,2948159
30,93.0,2949071
4,100.0,2950592
3,98.0,2956406
1,92.0,2959323
1,98.0,2960229
4,98.0,2965433
2,98.0,2968738
30,100.0,2970253
30,90.0,2980184
1,98.0,2984463
1,97.0,2994606
30,98.0,3013427
30,87.0,3013520
2,97.0,3015450
3,99.0,3028924
1,98.0,3029597
2,95.0,3030653
5,100.0,3042811
30,94.0,3043102
1,100.0,3053443
30,60.0,3068285
3,98.0,3073038
30,95.0,3079665
3,99.0,3079929
3,94.0,3081324
2,100.0,3081560
3,97.0,3082327
3,100.0,3084671
2,95.0,3093070
7,97.0,3093543
3,100.0,3102139
3,96.0,3105361
4,99.0,3105998
2,97.0,3112427
30,94.0,3114387
30,100.0,3115424
4,96.0,3116428
30,99.0,3116974
2,99.0,3122882
2,98.0,3123536
2,99.0,3124541
30,98.0,3133266
2,80.0,3140113
7,99.0,3157463
2,96.0,3157541
3,96.0,3168359
30,100.0,3175769
2,96.0,3182798
30,99.0,3183280
30,96.0,3200431
3,98.0,3201044
30,96.0,3205059
2,98.0,3218306
30,96.0,3221082
30,90.0,3225725
3,93.0,3230459
30,97.0,3240016
30,100.0,3246879
6,98.0,3250486
30,87.0,3256704
1,95.0,3257886
2,95.0,3257979
3,97.0,3261876
3,100.0,3262216
4,99.0,3263219
3,98.0,3271517
4,100.0,3280443
1,97.0,3290739
3,99.0,3292643
2,98.0,3309722
2,98.0,3311711
3,97.0,3312490
30,95.0,3319159
2,97.0,3319447
1,97.0,3325741
14,100.0,3326640
2,100.0,3333870
30,98.0,3333937
30,92.0,3343629
30,91.0,3354004
30,90.0,3354928
2,100.0,3355334
3,97.0,3376512
1,96.0,3376895
30,98.0,3377936
2,96.0,3384413
2,93.0,3385880
4,97.0,3391368
2,98.0,3394127
5,100.0,3395051
7,98.0,3402610
30,94.0,3415171
1,99.0,3416013
4,99.0,3433930
3,99.0,3441517
7,99.0,3441949
2,99.0,3442439
30,100.0,3469254
30,85.0,3475515
30,100.0,3476601
3,95.0,3479568
30,93.0,3482655
1,97.0,3486460
30,97.0,3505185
3,98.0,3506164
4,98.0,3519611
30,97.0,3520817
1,98.0,3522990
30,90.0,3532347
3,98.0,3534282
1,99.0,3549398
30,94.0,3563261
4,96.0,3565068
3,100.0,3585034
30,100.0,3591813
2,98.0,3594786
30,90.0,3611131
1,89.0,3612236
3,100.0,3613500
5,100.0,3630122
30,84.0,3655811
1,96.0,3656251
2,94.0,3664261
30,86.0,3664693
30,97.0,3672198
1,92.0,3689368
30,98.0,3697738
30,98.0,3712976
5,98.0,3716504
4,97.0,3718865
3,98.0,3719923
2,99.0,3720392
2,99.0,3721927
30,98.0,3727061
30,95.0,3743219
30,99.0,3757966
1,94.0,3759246
3,97.0,3759368
2,98.0,3761446
30,99.0,3767907
30,94.0,3775090
2,98.0,3780418
2,93.0,3791003
3,97.0,3792754
5,99.0,3793678
2,96.0,3793831
30,94.0,3808193
3,97.0,3811916
30,99.0,3812931
3,96.0,3832296
30,96.0,3844037
30,99.0,3852803
31,100.0,3862478
2,98.0,3870174
3,99.0,3877462
2,96.0,3883252
30,96.0,3889219
30,94.0,3890704
30,93.0,3895335
30,99.0,3895951
30,94.0,3924524
30,84.0,3944915
2,97.0,3946571
2,97.0,3962831
3,97.0,3994686
2,97.0,4013746
90,100.0,4014209
30,60.0,4015985
1,91.0,4022209
1,90.0,4022990
4,92.0,4023249
30,91.0,4023585
30,98.0,4024236
1,92.0,4026354
2,100.0,4033038
30,100.0,4037590
3,99.0,4052091
1,89.0,4059549
2,97.0,4069838
4,99.0,4069917
5,98.0,4074316
30,98.0,4075971
30,94.0,4077186
1,100.0,4093013
2,99.0,4093807
2,98.0,4093967
4,98.0,4097700
30,95.0,4100473
2,97.0,4104344
2,98.0,4105892
2,98.0,4105958
30,94.0,4106442
1,91.0,4110344
30,94.0,4121114
2,96.0,4121691
4,99.0,4122671
2,98.0,4135201
30,89.0,4145563
30,99.0,4157192
30,97.0,4157431
3,100.0,4175174
4,96.0,4175303
2,100.0,4183088
4,99.0,4184406
30,94.0,4191242
3,98.0,4199015
3,96.0,4215907
2,95.0,4227441
30,95.0,4242823
3,99.0,4243837
30,100.0,4250927
2,99.0,4252808
30,97.0,4257302
30,87.0,4259418
3,98.0,4269254
4,100.0,4277696
2,92.0,4280408
2,94.0,4287481
3,99.0,4305042
30,100.0,4319230
3,99.0,4321720
2,98.0,4330861
2,100.0,4358868
1,91.0,4359078
4,97.0,4359626
3,99.0,4365969
3,94.0,4372435
1,99.0,4387067
30,100.0,4392441
3,99.0,4402199
30,89.0,4416566
1,91.0,4417901
1,98.0,4418649
2,100.0,4422501
2,99.0,4429475
2,97.0,4429527
1,93.0,4430996
1,99.0,4439461
30,98.0,4445540
2,90.0,4446003
30,87.0,4461197
30,93.0,4462326
30,92.0,4463165
30,94.0,4463263
1,92.0,4464347
2,96.0,4470873
30,95.0,4471474
31,88.0,4476390
2,100.0,4483550
4,96.0,4493744
30,92.0,4500244
1,88.0,4510968
2,97.0,4517932
1,94.0,4518031
1,94.0,4519757
1,94.0,4519780
2,95.0,4526608
30,98.0,4527553
31,100.0,4531215
3,99.0,4532551
3,99.0,4533440
2,98.0,4533652
2,98.0,4549330
5,97.0,4549485
30,97.0,4550843
1,99.0,4558898
30,97.0,4575906
30,85.0,4576349
2,95.0,4577224
60,100.0,4597675
1,99.0,4603953
30,98.0,4607177
2,98.0,4607282
3,99.0,4614763
30,93.0,4616040
3,97.0,4616596
2,98.0,4617719
30,93.0,4621762
4,98.0,4624467
1,87.0,4631873
1,91.0,4632133
365,100.0,4638176
1,99.0,4638266
