host_is_superhost,review_scores_rating,id
t,97.0,607500
f,92.0,616204
t,96.0,616517
f,96.0,626349
f,100.0,627358
t,95.0,631635
t,96.0,631658
f,94.0,631735
t,100.0,632303
f,95.0,633629
t,96.0,635850
t,97.0,640352
f,99.0,640895
f,100.0,642672
t,95.0,643918
t,99.0,647360
t,96.0,648086
t,95.0,651624
t,99.0,654279
f,100.0,654860
f,100.0,655326
t,100.0,657121
f,100.0,662754
t,97.0,663623
t,93.0,664307
t,97.0,664315
f,99.0,677207
t,98.0,678556
t,97.0,680288
f,86.0,687430
f,99.0,691023
t,97.0,699723
t,96.0,713877
f,100.0,715543
f,99.0,715754
t,96.0,719431
t,95.0,720811
f,96.0,725300
t,96.0,726657
t,98.0,727866
t,95.0,727969
f,97.0,728486
t,98.0,728585
t,97.0,728884
f,92.0,730045
f,98.0,732779
f,95.0,734801
t,99.0,734839
f,100.0,738493
f,94.0,738547
t,72.0,741327
t,97.0,746079
t,98.0,748222
t,98.0,748256
f,94.0,749744
t,98.0,749990
f,95.0,752607
t,99.0,754117
t,96.0,758815
f,96.0,760794
t,97.0,765914
t,98.0,766516
f,96.0,767506
f,95.0,769734
t,98.0,770991
t,97.0,774323
t,99.0,776239
f,95.0,778520
t,98.0,779109
f,74.0,781945
t,99.0,783821
f,93.0,785901
f,94.0,786492
f,94.0,786506
f,92.0,794626
t,99.0,795254
f,95.0,797887
f,95.0,802559
t,99.0,806199
f,93.0,808660
t,98.0,808919
t,99.0,810315
f,94.0,811374
t,95.0,815183
f,100.0,819856
f,87.0,819863
t,100.0,829185
t,93.0,830330
f,83.0,830576
f,76.0,830997
f,88.0,833149
f,94.0,837045
t,99.0,840986
f,89.0,845480
f,88.0,845501
f,93.0,845502
f,89.0,848578
t,99.0,851889
t,100.0,856123
f,97.0,859310
t,97.0,859336
t,96.0,862201
t,100.0,863987
f,96.0,865873
t,100.0,867499
f,96.0,867530
t,99.0,867555
f,97.0,870532
f,97.0,870705
f,73.0,872206
f,95.0,873705
t,97.0,878935
t,93.0,881105
t,97.0,883937
t,96.0,884770
f,91.0,890875
t,100.0,893720
f,92.0,899499
t,96.0,900393
f,98.0,900941
f,100.0,902435
t,97.0,905399
f,92.0,905902
t,100.0,909063
t,98.0,911029
t,99.0,915058
t,99.0,918341
f,90.0,923807
t,95.0,929468
f,92.0,930955
f,84.0,931313
f,100.0,932481
f,95.0,934012
t,97.0,936209
t,95.0,937842
t,94.0,938330
f,97.0,945748
f,98.0,950094
f,78.0,955071
t,97.0,958507
f,96.0,961900
t,95.0,964751
f,99.0,964952
f,95.0,968046
f,99.0,968308
t,97.0,968852
t,92.0,971069
t,99.0,971116
f,100.0,975482
t,99.0,980783
f,93.0,982298
f,87.0,983739
f,98.0,991765
t,97.0,992676
f,84.0,992913
f,89.0,997382
t,99.0,998701
f,94.0,1001415
t,97.0,1001759
f,98.0,1003756
t,97.0,1005642
f,92.0,1007157
f,92.0,1011292
t,93.0,1011751
t,95.0,1015336
t,95.0,1016604
f,93.0,1017799
f,92.0,1023586
t,99.0,1029621
f,95.0,1030352
f,100.0,1031899
t,98.0,1033754
f,98.0,1036860
f,86.0,1037251
t,99.0,1043282
t,97.0,1053666
t,97.0,1056844
f,99.0,1059961
t,95.0,1069167
t,98.0,1076743
t,94.0,1077444
t,99.0,1080408
f,98.0,1080980
f,97.0,1083810
f,93.0,1084068
f,80.0,1087427
f,96.0,1094207
t,100.0,1098003
f,99.0,1103797
f,95.0,1104362
f,89.0,1104912
t,95.0,1106534
f,98.0,1107014
f,100.0,1109534
t,98.0,1110001
t,100.0,1110346
t,95.0,1110787
f,96.0,1121697
t,99.0,1123125
t,94.0,1125079
t,95.0,1125115
f,78.0,1130628
f,97.0,1133372
t,94.0,1135632
f,96.0,1138420
t,100.0,1138764
f,84.0,1141986
f,91.0,1142101
t,98.0,1148625
f,100.0,1151109
f,100.0,1151864
f,93.0,1159284
f,94.0,1162640
t,99.0,1171918
t,97.0,1174214
f,96.0,1174537
f,100.0,1174758
t,99.0,1177310
t,99.0,1178260
t,98.0,1178281
f,93.0,1180103
f,96.0,1182465
t,96.0,1183521
f,98.0,1195173
t,98.0,1200068
t,99.0,1201159
t,99.0,1203062
t,96.0,1203172
f,88.0,1203526
t,99.0,1203684
f,100.0,1203849
t,98.0,1205031
f,92.0,1206032
f,86.0,1206184
f,84.0,1206233
f,89.0,1206261
f,96.0,1209893
t,100.0,1212513
t,97.0,1212746
t,98.0,1212822
f,99.0,1214080
t,97.0,1223107
f,96.0,1223704
f,98.0,1226557
f,91.0,1226596
t,93.0,1229606
f,94.0,1237143
t,98.0,1241029
t,95.0,1245838
f,75.0,1247160
t,92.0,1249046
f,97.0,1251570
f,97.0,1261074
t,96.0,1261122
t,96.0,1267206
f,99.0,1276953
f,93.0,1277771
t,99.0,1281132
t,97.0,1281167
t,100.0,1286943
f,100.0,1290935
t,98.0,1291092
f,97.0,1292217
f,95.0,1299242
f,92.0,1301798
f,100.0,1301843
f,98.0,1304068
t,95.0,1304808
t,100.0,1309496
t,98.0,1317908
t,98.0,1323983
f,100.0,1328186
f,98.0,1329465
t,99.0,1332343
t,98.0,1333047
f,92.0,1336798
t,97.0,1336998
t,97.0,1340755
f,92.0,1344243
f,88.0,1344752
t,93.0,1351626
f,96.0,1351783
f,98.0,1352111
f,98.0,1355744
t,95.0,1356129
t,98.0,1356817
t,100.0,1364882
f,94.0,1388523
f,91.0,1391982
t,97.0,1392204
t,98.0,1393654
f,94.0,1397537
f,100.0,1405046
t,97.0,1407244
f,96.0,1407881
t,98.0,1408281
t,97.0,1409218
t,97.0,1421774
t,98.0,1421937
f,96.0,1428465
t,100.0,1428553
f,91.0,1428909
f,93.0,1429022
t,96.0,1433011
t,98.0,1433917
t,100.0,1434314
f,97.0,1434425
t,93.0,1437321
t,93.0,1438286
t,97.0,1438864
t,100.0,1442027
f,100.0,1450899
f,89.0,1454220
t,95.0,1456153
t,99.0,1460174
f,86.0,1460628
t,100.0,1466344
t,97.0,1467857
t,98.0,1470340
t,98.0,1471683
t,97.0,1474209
t,98.0,1478708
f,93.0,1479666
t,99.0,1480015
f,98.0,1482273
f,96.0,1482730
t,95.0,1483853
t,99.0,1484792
f,92.0,1487849
f,99.0,1489175
f,92.0,1489782
t,97.0,1494771
f,92.0,1496833
t,97.0,1498953
f,98.0,1499630
f,97.0,1499843
t,99.0,1504826
t,97.0,1506702
t,99.0,1510363
t,100.0,1511076
t,98.0,1520790
f,93.0,1520929
f,97.0,1520938
t,99.0,1524346
f,96.0,1525137
t,100.0,1525886
f,98.0,1530745
t,94.0,1531273
f,89.0,1534021
f,98.0,1535946
t,96.0,1537497
t,97.0,1547477
t,97.0,1550913
f,94.0,1556680
f,93.0,1569288
f,94.0,1578597
f,100.0,1579304
f,98.0,1584021
t,95.0,1587410
t,100.0,1588695
f,98.0,1589228
f,99.0,1598872
f,98.0,1598886
f,94.0,1605483
t,93.0,1606292
t,96.0,1614453
f,99.0,1614622
t,97.0,1615088
t,95.0,1615158
t,100.0,1618782
t,95.0,1620039
t,96.0,1620411
t,98.0,1623609
t,98.0,1624068
f,95.0,1627259
f,96.0,1627455
f,98.0,1629330
t,98.0,1629740
f,94.0,1633126
f,80.0,1633173
f,89.0,1633225
t,95.0,1633839
t,99.0,1633933
t,97.0,1641060
f,88.0,1645724
t,100.0,1651228
f,94.0,1655446
f,86.0,1657512
t,98.0,1665516
f,99.0,1667732
t,99.0,1671260
t,99.0,1673011
f,80.0,1676460
t,98.0,1684346
f,98.0,1687330
f,88.0,1696383
f,91.0,1696666
t,96.0,1699390
f,100.0,1711075
f,100.0,1721354
t,98.0,1724819
f,93.0,1725833
t,96.0,1725853
t,88.0,1728497
t,100.0,1733056
t,98.0,1738415
t,96.0,1740537
t,99.0,1743201
f,96.0,1747531
t,97.0,1750093
t,99.0,1752371
t,96.0,1759087
f,93.0,1767543
t,98.0,1767569
f,99.0,1768239
t,99.0,1769688
f,93.0,1774026
f,94.0,1777429
t,94.0,1778650
t,95.0,1785463
f,100.0,1807012
f,93.0,1807493
f,92.0,1810486
t,100.0,1814061
t,98.0,1815551
t,100.0,1821543
t,96.0,1827177
f,100.0,1827638
t,99.0,1827653
f,98.0,1828443
t,98.0,1830541
t,95.0,1841832
f,98.0,1844117
t,98.0,1844877
t,96.0,1847664
t,99.0,1855096
t,94.0,1857226
t,100.0,1861344
f,93.0,1863106
f,93.0,1863316
f,96.0,1864390
f,93.0,1864545
f,85.0,1865406
f,98.0,1868880
f,100.0,1869845
t,100.0,1881223
f,88.0,1885057
f,97.0,1886260
f,94.0,1887206
f,99.0,1898486
f,100.0,1906323
f,97.0,1906681
t,95.0,1907229
f,100.0,1909613
f,94.0,1914841
t,97.0,1919372
t,97.0,1920033
t,97.0,1925206
t,97.0,1925714
f,96.0,1926253
f,99.0,1931459
t,92.0,1931763
t,98.0,1931788
t,99.0,1932019
t,97.0,1935904
t,95.0,1937575
t,100.0,1940496
f,98.0,1944306
t,99.0,1944564
t,99.0,1945508
f,95.0,1954263
f,95.0,1954514
t,96.0,1959880
t,100.0,1960773
t,99.0,1970257
f,88.0,1970756
t,98.0,1975404
f,98.0,1978669
t,100.0,1979461
f,98.0,1984709
t,97.0,1985338
t,98.0,1989997
t,98.0,1992217
f,90.0,1992988
f,99.0,1995487
t,95.0,1998111
f,96.0,2001534
f,93.0,2007101
f,84.0,2011311
t,94.0,2016198
f,96.0,2020393
f,100.0,2022751
f,100.0,2023326
t,99.0,2026910
t,98.0,2042095
t,96.0,2046634
f,89.0,2046807
t,94.0,2047469
f,96.0,2049672
t,98.0,2049955
f,96.0,2058119
t,98.0,2062696
f,98.0,2063077
f,96.0,2072098
f,93.0,2072133
f,90.0,2074270
t,95.0,2074584
t,96.0,2081536
t,95.0,2088622
f,94.0,2093695
t,99.0,2096756
f,95.0,2104437
t,96.0,2105840
t,96.0,2115503
t,96.0,2119773
t,96.0,2123469
t,97.0,2124182
t,95.0,2126868
f,98.0,2130640
t,98.0,2134475
t,92.0,2139562
f,97.0,2140313
f,99.0,2154122
t,97.0,2160504
f,95.0,2166428
t,98.0,2169208
t,96.0,2172308
t,99.0,2177440
t,98.0,2178509
t,80.0,2188233
t,100.0,2188308
t,100.0,2188507
t,96.0,2188561
f,92.0,2188959
f,94.0,2188976
t,98.0,2189514
f,92.0,2189814
f,91.0,2202505
t,96.0,2203283
t,80.0,2209353
t,99.0,2209751
f,100.0,2219978
t,98.0,2221057
f,92.0,2223743
t,99.0,2233416
f,88.0,2234256
t,94.0,2236226
f,99.0,2238488
t,89.0,2244652
t,98.0,2254431
f,89.0,2257205
t,99.0,2263794
f,95.0,2272343
t,96.0,2274353
t,98.0,2277754
t,100.0,2279254
t,99.0,2298930
t,94.0,2299196
t,97.0,2302408
f,97.0,2305039
t,90.0,2310518
t,99.0,2310765
f,100.0,2311428
f,97.0,2314849
t,98.0,2315086
f,95.0,2316478
t,97.0,2326228
f,100.0,2337552
t,98.0,2349483
t,98.0,2355859
t,96.0,2356554
f,97.0,2362619
f,87.0,2366182
f,100.0,2374267
f,98.0,2374361
t,97.0,2387068
f,87.0,2391772
t,97.0,2396847
t,99.0,2397852
t,99.0,2397858
t,98.0,2400409
t,92.0,2412158
f,100.0,2420887
f,100.0,2423948
f,94.0,2432104
t,99.0,2436213
t,96.0,2455313
t,96.0,2455325
f,93.0,2460904
f,97.0,2465543
t,99.0,2468125
f,100.0,2469485
f,97.0,2471457
f,90.0,2477409
t,100.0,2477787
t,97.0,2478558
f,98.0,2482884
t,95.0,2483759
t,97.0,2486953
f,99.0,2488520
t,94.0,2488837
t,97.0,2496086
f,100.0,2496460
f,100.0,2496719
f,96.0,2499257
f,90.0,2500662
f,97.0,2502368
f,93.0,2502543
