minimum_nights,review_scores_rating,id,neighbourhood
2,98.0,137546,Noe Valley
30,96.0,137672,Inner Sunset
5,98.0,138592,The Castro
30,93.0,138619,Telegraph Hill
5,99.0,138772,The Castro
2,97.0,140568,Bernal Heights
4,98.0,142177,Richmond District
30,94.0,144978,Pacific Heights
30,92.0,147443,Diamond Heights
5,99.0,148559,Duboce Triangle
60,85.0,148627,Cow Hollow
30,89.0,148769,Twin Peaks
30,94.0,150347,Mission District
3,99.0,150848,Potrero Hill
30,95.0,162934,Richmond District
5,97.0,164207,West Portal
30,96.0,166199,The Castro
30,97.0,166771,Haight-Ashbury
30,87.0,175090,Financial District
30,94.0,175102,Chinatown
30,83.0,176274,Excelsior
30,97.0,177137,Chinatown
30,93.0,180233,The Castro
3,97.0,183859,Glen Park
29,96.0,187730,Mission District
2,98.0,189068,Bernal Heights
5,98.0,189894,Marina
2,97.0,191632,Western Addition/NOPA
5,99.0,199480,Bernal Heights
30,100.0,201313,Telegraph Hill
30,97.0,201579,Alamo Square
30,100.0,206566,Chinatown
30,97.0,206634,Chinatown
30,80.0,206637,Chinatown
2,96.0,207980,Noe Valley
30,96.0,208727,Richmond District
3,96.0,208831,North Beach
1,93.0,209514,Haight-Ashbury
5,100.0,212265,Mission District
1,91.0,212783,Haight-Ashbury
1,89.0,213532,Haight-Ashbury
30,96.0,213854,The Castro
5,99.0,216042,Bernal Heights
2,97.0,216064,Mission Terrace
30,93.0,217106,Haight-Ashbury
1,89.0,220418,Haight-Ashbury
2,95.0,221342,Russian Hill
2,98.0,224579,Mission District
3,96.0,225933,Duboce Triangle
1,93.0,229240,Financial District
30,97.0,229319,Bernal Heights
2,88.0,231129,Nob Hill
30,99.0,231752,The Castro
30,98.0,232060,Inner Sunset
2,96.0,238190,Russian Hill
3,95.0,238204,Outer Sunset
1,93.0,241235,Financial District
3,97.0,242008,SoMa
30,97.0,244361,Chinatown
30,90.0,245339,Tenderloin
6,98.0,252867,Potrero Hill
1,98.0,256148,The Castro
